ENGL,English,4,3,10,5,8,8,Doctorate
EAE,Geography,0,0,0,0,0,0,Doctorate
EAE,Geology & Envir. Geosciences,1,2,0,1,1,0,Doctorate
HIST,History,2,2,4,6,1,1,Doctorate
MATH,Mathematical Sciences,3,5,6,6,8,4,Doctorate
PHYS,Physics,3,1,5,3,5,5,Doctorate
POLS,Political Science,7,12,5,10,7,5,Doctorate
PSYC,Psychology,10,13,17,23,12,18,Doctorate
AHP,Allied Health & Communicative Disorders,0,0,5,55,58,44,Doctorate
AHP,Allied Health Professions,0,0,0,0,0,0,Doctorate
AHP,Communicative Disorders,2,7,0,0,0,0,Doctorate
FNCS,Family Consumer & Nutrition Sci,0,0,0,0,0,0,Doctorate
NURS,Nursing,0,0,0,0,0,0,Doctorate
ART,Art,0,3,0,0,1,2,Doctorate
NIU,UNIVERSITY TOTAL,102,147,113,181,162,153,Doctorate
