Acadept,Degname,Major,Acad Yr,Count of OSIR
ART,BA,Art History and Visual Studies (BA),2024,7
ART,BA,Art (BA),2024,19
ART,BA,Art History and Visual Studies (BA),2023,7
ART,BA,Art (BA),2023,23
ART,BA,Art History and Visual Studies (BA),2022,6
ART,BA,Art (BA),2022,25
ART,BA,Art History and Visual Studies (BA),2021,8
ART,BA,Art (BA),2021,21
ART,BA,Art History and Visual Studies (BA),2020,10
ART,BA,Art (BA),2020,21
ART,BA,Art History and Visual Studies (BA),2019,12
ART,BA,Art (BA),2019,27
ART,BA,Art History and Visual Studies (BA),2018,15
ART,BA,Art (BA),2018,31
ART,BA,Art History and Visual Studies (BA),2017,13
ART,BA,Art (BA),2017,32
ART,BA,Art History and Visual Studies (BA),2016,14
ART,BA,Art (BA),2016,54
ART,BFA,Art Studio and Design- Design and Media Arts (BFA),2025,1
ART,BFA,Art Studio and Design - Design and Media Arts (BFA),2025,158
ART,BFA,Art Studio and Design - Art Studio (BFA),2025,167
ART,BFA,Art Studio and Design- Design and Media Arts (BFA),2024,2
ART,BFA,Art Studio and Design - Design and Media Arts (BFA),2024,153
ART,BFA,Art Studio and Design - Art Studio (BFA),2024,173
ART,BFA,Art Studio and Design - Design and Media Arts (BFA),2023,148
ART,BFA,Art Studio and Design - Art Studio (BFA),2023,148
ART,BFA,Art Studio and Design - Design and Media Arts (BFA),2022,145
ART,BFA,Art Studio and Design - Art Studio (BFA),2022,125
ART,BFA,Art Studio and Design- Design and Media Arts (BFA),2021,1
ART,BFA,Art Studio and Design - Design and Media Arts (BFA),2021,138
ART,BFA,Art Studio and Design - Art Studio (BFA),2021,121
ART,BFA,Art Studio and Design - Design and Media Arts (BFA),2020,144
ART,BFA,Art Studio and Design - Art Studio (BFA),2020,107
ART,BFA,Art Studio and Design - Design and Media Arts (BFA),2019,135
ART,BFA,Art Studio and Design - Art Studio (BFA),2019,113
ART,BFA,2-D Studio (BFA),2019,2
ART,BFA,Art Studio and Design- Design and Media Arts (BFA),2018,1
ART,BFA,Art Studio and Design - Design and Media Arts (BFA),2018,125
ART,BFA,Art Studio and Design - Art Studio (BFA),2018,98
ART,BFA,3-D Studio (BFA),2018,1
ART,BFA,2-D Studio (BFA),2018,7
ART,BFA,Art Studio and Design- Design and Media Arts (BFA),2017,3
